,embed1_1,embed1_2,embed1_3,embed1_4,embed1_5,embed1_6,embed1_7,embed1_8,embed1_9,embed1_10,embed1_11,embed1_12,embed1_13,embed1_14,embed1_15,embed1_16,embed1_17,embed1_18,embed1_19,embed1_20,embed1_21,embed1_22,embed1_23,embed1_24,embed1_25,embed1_26,embed1_27,embed1_28,embed1_29,embed1_30,embed1_31,embed1_32,embed1_33,embed1_34,embed1_35,embed1_36,embed1_37,embed1_38,embed1_39,embed1_40,embed1_41,embed1_42,embed1_43,embed1_44,embed1_45,embed1_46,embed1_47,embed1_48,embed1_49,embed1_50,embed1_51,embed1_52,embed1_53,embed1_54,embed1_55,embed1_56,embed1_57,embed1_58,embed1_59,embed1_60,embed1_61,embed1_62,embed1_63,embed1_64,flow_seq_score
gapdh_tdh3,-0.105613425,0.117232606,-0.11301861,-0.9274308,0.01496756,-0.23263918,0.097941995,0.32639748,0.4605857,-0.16402406,0.16630363,0.29887456,-0.0366385,-0.017556036,-0.10275953,-0.08251465,-0.7243105,0.048581,0.08106098,-0.52270573,-0.07355653,0.36453402,-0.48648247,-0.27915275,0.21882038,-0.0750816,-0.10754425,0.04563717,0.57799816,-0.5723909,0.24354926,0.40598577,0.2618836,-0.10717561,0.5761894,0.09564537,-0.15855986,0.012631309,0.05904831,-0.10758833,0.0069826543,0.20160201,-0.04160271,0.04951252,-0.015747769,0.19500093,-0.9019436,-0.19198398,0.24099901,0.23350035,0.47313493,0.03537485,-0.02189364,-0.076724716,0.08653847,0.007956461,-0.07934292,-0.062194914,-0.017891347,0.3004261,-0.19451104,-0.038129635,0.50609165,-0.053779285,0.2053486928131461
hat1_nhp6a,-0.0919698,0.08527004,-0.16103292,-0.95613956,-0.043086037,-0.1303462,0.07878885,0.16940221,0.40741467,-0.17260052,0.14795654,0.21206199,-0.048628125,0.07676104,-0.020218529,-0.050848775,-0.8373185,0.04383716,0.17419633,-0.5927502,-0.122468345,0.4040414,-0.28050235,-0.27567175,0.09878483,-0.07896265,-0.10311944,0.08577048,0.418089,-0.49617463,0.13559456,0.38966522,0.15173712,-0.092488475,0.5845202,0.102392524,-0.2556662,0.07225967,0.0252701,-0.15189417,0.019663785,0.15801704,-0.010738111,0.07631082,-0.097422875,0.09848576,-0.901875,-0.33371654,0.14000526,0.23445863,0.5738833,0.018907271,-0.012383352,-0.09477211,0.10909801,0.014465301,-0.09714359,-0.022482693,-0.00046823575,0.34852043,-0.1626864,-0.019652436,0.4266336,0.021620644,0.2148294369153411
dpd4_eaf5,-0.07604714,0.06975911,-0.1489106,-0.9603478,-0.03741088,-0.14936657,0.0628817,0.17114207,0.31884018,-0.201321,0.16300498,0.17381299,-0.048572868,0.056106158,-0.1386575,-0.09310275,-0.8653794,0.043609075,0.3270129,-0.61727935,-0.099153355,0.2596469,-0.26810372,-0.2917585,0.047131516,-0.15949173,-0.16308339,0.0789342,0.26081303,-0.3855047,0.138645,0.4479535,0.1329294,-0.075180314,0.6193222,0.00030490928,-0.29021767,0.11818327,-0.009989348,-0.12806587,0.05800462,0.14552309,-0.006402134,0.00015789313,-0.21631145,0.08230525,-0.9488465,-0.42552993,0.14218447,0.22365953,0.63571215,0.023438133,-0.01931316,-0.11730418,0.11623763,0.029838659,-0.016121019,-0.09150856,0.0019358641,0.28873682,-0.20302518,-0.020909518,0.34160787,0.00213213,0.3864694419237067
hos2_bre2,-0.076445825,0.07634501,-0.14636785,-0.95329934,-0.03085151,-0.23706606,0.07712102,0.21368888,0.35669568,-0.21297419,0.12822223,0.15726258,-0.04076358,-0.009667313,-0.07793816,-0.056808192,-0.89865637,0.03834872,0.18270256,-0.6731108,-0.1216425,0.3386667,-0.32506397,-0.2628291,0.13628453,-0.08462705,-0.088372506,0.101351306,0.40100634,-0.40244845,0.17243046,0.32426026,0.17416649,-0.08853274,0.5933913,0.09096568,-0.29799172,0.05934161,0.030582067,-0.13610075,0.034823243,0.14334588,-0.037073813,0.031217584,-0.14913048,0.1353462,-0.93469113,-0.21755078,0.14118929,0.20354122,0.52810436,0.020392336,-0.00946323,-0.09997219,0.12034843,0.016522093,-0.05493878,0.0033047597,-0.026005974,0.2255897,-0.11530964,-0.029659584,0.42212665,-0.010090055,0.4967256564889043
hat1_hhf2,-0.08695504,0.09364064,-0.16521,-0.95124334,-0.039759893,-0.14008237,0.075254574,0.17808399,0.41936854,-0.1658474,0.14099792,0.21314463,-0.045386735,0.05731323,-0.019093644,-0.057584014,-0.8434557,0.045424,0.16675636,-0.59845346,-0.124354176,0.3863526,-0.28363442,-0.26684734,0.10141278,-0.08157601,-0.102201425,0.08472923,0.421622,-0.49128127,0.14948119,0.3860869,0.15796131,-0.0861937,0.58308995,0.1013685,-0.25858825,0.063957974,0.03748719,-0.1434479,0.021195149,0.15397389,-0.022458447,0.07357219,-0.10659258,0.09812883,-0.90580153,-0.3160079,0.14615577,0.23861602,0.56003773,0.02225912,-0.0036439314,-0.11393911,0.11034205,0.014872482,-0.07220716,-0.02107172,-0.014175884,0.33433282,-0.15085283,-0.012074181,0.4170665,-0.00414898,0.2576834117708614
bre2_pyk2,-0.076481424,0.09334928,-0.12933476,-0.953534,-0.015227846,-0.19946578,0.08042202,0.26012847,0.3718232,-0.1763212,0.14121355,0.23516546,-0.04132264,-0.004595007,-0.09297457,-0.07287315,-0.84603906,0.045087576,0.15180045,-0.6176773,-0.101742305,0.34259817,-0.369964,-0.26507068,0.17421328,-0.10390471,-0.1019207,0.08291681,0.44736302,-0.48857027,0.19024839,0.392371,0.20020163,-0.08888201,0.5987734,0.08913818,-0.23618852,0.045995638,0.009511909,-0.13597892,0.017866706,0.15124282,-0.038308702,0.060609028,-0.07960388,0.1688463,-0.9160766,-0.20381726,0.17252603,0.1806311,0.50757176,0.022497248,-0.01774097,-0.09303315,0.11094633,0.013123033,-0.07382886,-0.006889585,-0.021263577,0.2576906,-0.13446362,-0.035548296,0.42440414,-0.023748478,0.2874541037168601
empty_med7,-0.062984735,0.049861837,-0.16022196,-0.9703375,-0.06408102,-0.21861571,0.058506463,0.11687173,0.31490964,-0.197245,0.18041787,0.12385343,-0.020133011,0.038744878,-0.12341845,-0.10526405,-0.92139864,0.03555861,0.45393923,-0.64847744,-0.09539573,0.2707537,-0.26945236,-0.26870796,0.033312436,-0.124085374,-0.11791208,0.07395965,0.230452,-0.32753214,0.10328707,0.4427322,0.1364813,-0.10347682,0.66739494,0.037633847,-0.36186194,0.15259206,-0.0019448305,-0.17009418,0.070381284,0.12652081,0.042269014,0.0146082,-0.27979067,0.06034887,-0.95424974,-0.4594916,0.13982925,0.24474418,0.61884415,0.038483635,-0.0059258766,-0.10622345,0.13917927,0.06436029,0.063300125,-0.052947942,0.009459516,0.2729242,-0.1573053,-0.010546317,0.34671757,-0.021604551,0.3069618482008689
hst2_ldb7,-0.08377166,0.1013032,-0.09181432,-0.97132325,-0.009248264,-0.12040454,0.08448146,0.22964424,0.32249132,-0.109293565,0.1908309,0.32203558,-0.061136957,0.021150682,-0.19857909,-0.10121124,-0.8193185,0.03723659,0.22450468,-0.5487781,-0.08106717,0.33521375,-0.41121045,-0.2679574,0.15390477,-0.081755705,-0.09915415,0.064572364,0.49432647,-0.46837154,0.22688608,0.41936457,0.1932297,-0.07709201,0.6694745,0.06917952,-0.23662058,0.071605474,0.0017223195,-0.13728979,0.034213956,0.122740544,-0.016747938,0.03709257,-0.17604998,0.1625563,-0.9415604,-0.30912024,0.20678842,0.16795023,0.5110646,0.046712853,-0.005673943,-0.10809318,0.13750511,0.026619887,0.0029218926,-0.035084356,-0.027639993,0.32953775,-0.1364816,-0.024306057,0.35800418,-0.017802764,0.2883820461635136
lge1_hos1,-0.043735825,0.05649608,-0.20650391,-0.9684651,-0.061541747,-0.39670524,0.042205147,0.13613209,0.3503545,-0.22133128,0.12273862,0.12795953,-0.015447964,-0.15812016,-0.19266161,-0.13141061,-0.93680817,0.035736386,0.43289325,-0.7028429,-0.14979301,0.30354714,-0.33553687,-0.20750669,0.08644044,-0.16500491,-0.03845762,0.08226074,0.2909557,-0.3169642,0.18044746,0.41626713,0.16703346,-0.10800249,0.6166172,0.034085058,-0.34275135,0.13980931,0.027201233,-0.19634128,0.05230301,0.09699802,0.06921207,-0.04035291,-0.23718578,0.10573839,-0.9554209,-0.37441513,0.12974714,0.22045349,0.57553893,0.02477955,-0.02353523,-0.10770781,0.15840285,0.112125926,0.020215267,0.0069200434,-0.021169001,0.19338049,-0.15028971,-0.014637658,0.324866,-0.088989325,0.3387986486960556
cac2_sfh1,-0.038467497,0.08355782,-0.14836864,-0.94231266,-0.022191156,-0.34666735,0.06549621,0.17070377,0.3596261,-0.24731073,0.10928705,0.14053468,-0.014291731,-0.08681637,-0.10400252,-0.08925671,-0.91515464,0.040101856,0.29174867,-0.68734545,-0.09500725,0.28395092,-0.31922573,-0.27101463,0.09999091,-0.1361485,-0.11653735,0.088453926,0.3165531,-0.39186117,0.15008375,0.38695997,0.18754324,-0.10930475,0.6400906,0.036854155,-0.31191412,0.10109147,0.019978661,-0.1426529,0.052772913,0.16949911,-0.0041986583,-0.0052911965,-0.20481369,0.12640661,-0.9300077,-0.27586323,0.13145101,0.24929605,0.49616948,0.027823426,-0.012798764,-0.09863852,0.12258323,0.044129018,-0.018750349,-0.018657856,-0.009401009,0.20712842,-0.14918363,-0.037783418,0.4153799,-0.04736789,0.3356157093982124
cac2_nhp10,-0.05665857,0.096365385,-0.13519607,-0.94213206,-0.027564803,-0.24481732,0.06705216,0.19282344,0.34881455,-0.24047221,0.14628331,0.16703698,-0.05297979,-0.055752657,-0.06981508,-0.06857361,-0.8903131,0.040123146,0.2307264,-0.68427795,-0.07992842,0.3232641,-0.33596534,-0.24597107,0.11297447,-0.08609677,-0.094189644,0.11342909,0.37644994,-0.39732367,0.15754852,0.34989664,0.1782553,-0.08689678,0.6937782,0.054412406,-0.28410676,0.07450911,0.028503997,-0.14279611,0.04068319,0.15443608,-0.022298206,-0.004603001,-0.2364244,0.13669056,-0.9343934,-0.28761396,0.13046086,0.24219362,0.47107828,0.0298473,-0.001724973,-0.11425843,0.13396645,0.010188258,0.005837538,-0.033955615,-0.011092639,0.23803663,-0.12293658,-0.023065591,0.39101377,-0.0065218806,0.2154242851364469
dpd4_swc5,-0.1298865,0.060757168,-0.14071651,-0.9674527,-0.05233777,-0.17768875,0.06304759,0.13914193,0.26745835,-0.22018676,0.21637876,0.17591247,-0.07193033,-0.0016227926,-0.16403595,-0.10197312,-0.83719856,0.043868814,0.50927305,-0.6770668,-0.08134463,0.27063245,-0.2618956,-0.2710547,0.032001033,-0.15687594,-0.12700851,0.09529654,0.25930017,-0.31567118,0.15756592,0.44212613,0.09041081,-0.08047492,0.7363651,-0.007894801,-0.25138468,0.13102975,-0.0035303286,-0.13560653,0.082872376,0.12684165,0.0739129,-0.13840374,-0.3691993,0.06254492,-0.9635894,-0.58309346,0.14218006,0.22457479,0.6645164,0.032886386,-0.0022970987,-0.1035004,0.16806927,0.03820656,0.05621727,-0.1293348,0.049493693,0.3135511,-0.19902274,0.017690174,0.26086017,0.05572619,0.163075964999846
btt1_hmt2,-0.13267331,0.08961986,-0.10297503,-0.95140344,-0.0054905238,-0.18016772,0.10809287,0.32200986,0.3303751,-0.15389492,0.18201132,0.33148533,-0.048420176,-0.0019355647,-0.1416139,-0.103618525,-0.88867795,0.035671324,0.17812952,-0.582807,-0.13926305,0.36871085,-0.45547333,-0.33352813,0.2585221,-0.14272422,-0.119100586,0.07946335,0.5220321,-0.558293,0.32246563,0.36799783,0.26186758,-0.090056665,0.5214962,0.028441174,-0.2791743,0.058227856,0.0037111284,-0.14569683,0.030881934,0.15492772,-0.05340194,0.062306993,-0.072184145,0.19974104,-0.92165685,-0.27707136,0.21607424,0.19052753,0.59818816,0.043141734,-0.030256156,-0.10871287,0.12755,0.03903645,-0.092531666,0.002528682,-0.041350693,0.32281724,-0.1239263,-0.03375266,0.49250215,-0.02021776,0.2623365006962489
hos2_hmt2,-0.11357451,0.09016246,-0.1264296,-0.94697344,-0.014813069,-0.23660517,0.1088015,0.2894521,0.36681622,-0.14439972,0.15616868,0.27692786,-0.055667933,-0.0018221762,-0.111221485,-0.09274035,-0.9023534,0.038835607,0.14980471,-0.59111345,-0.13800889,0.37169978,-0.44106123,-0.2958657,0.25687388,-0.100884266,-0.07560831,0.09833864,0.5360469,-0.52922463,0.29462627,0.32095313,0.22218736,-0.06267812,0.5273134,0.044776626,-0.29010454,0.05197276,0.029362323,-0.14575088,0.024023585,0.1282194,-0.06855709,0.058555644,-0.09467512,0.19000927,-0.92922795,-0.21443121,0.19254838,0.20413451,0.5393857,0.037584823,-0.01803064,-0.115057364,0.12382193,0.025074877,-0.0812717,0.007105323,-0.045589406,0.28864834,-0.10179224,-0.038088765,0.49482188,-0.011040011,0.5036855890401539
hos1_cdc36,-0.03992257,0.0747266,-0.14151385,-0.96383995,-0.041173067,-0.22482179,0.07371596,0.1803734,0.35805714,-0.18210489,0.13137661,0.15911023,-0.035997923,0.042150196,-0.086519584,-0.06402252,-0.93426013,0.03501178,0.20163675,-0.6622689,-0.1341213,0.32323834,-0.31009442,-0.27992606,0.13432015,-0.09745797,-0.082313515,0.09194321,0.34932855,-0.4228253,0.16145094,0.34652048,0.1624026,-0.07463786,0.5721886,0.07218246,-0.3559695,0.08083187,0.00316009,-0.1651801,0.036382683,0.12494579,-0.049168117,0.098624334,-0.14702052,0.14497425,-0.9261218,-0.21011217,0.118136704,0.19875757,0.5354241,0.016688515,-0.010516365,-0.12087362,0.10856297,0.020969875,-0.058486395,0.012208666,-0.025246354,0.23215719,-0.094099045,-0.04112458,0.42445722,-0.009973237,0.4326393622544169
hos2_eaf5,-0.071041845,0.073946774,-0.15835847,-0.9498267,-0.03130847,-0.22789922,0.08049445,0.2087565,0.37960544,-0.17944796,0.12702328,0.17214483,-0.042249244,0.056084536,-0.0842351,-0.08001276,-0.9037281,0.041602135,0.19291204,-0.612257,-0.12688278,0.32529387,-0.33200672,-0.2768995,0.1380061,-0.100842305,-0.09614056,0.09006316,0.3845214,-0.4397663,0.18093689,0.3540537,0.16857736,-0.064733274,0.54844874,0.041528095,-0.30679384,0.08004058,0.025594639,-0.1414893,0.03267504,0.13675259,-0.049203742,0.054970097,-0.13719115,0.1349519,-0.9409415,-0.25876513,0.15001379,0.22370861,0.55546176,0.021212565,-0.014651982,-0.12606166,0.10857661,0.020924408,-0.06068204,-0.018514682,-0.028617164,0.25350124,-0.1370133,-0.03744568,0.4360082,-0.020920344,0.5653002275237287
hda1_eaf3,-0.08432223,0.06626088,-0.14090928,-0.95786893,-0.030245204,-0.1982976,0.07221305,0.18950438,0.35455132,-0.15480231,0.15184598,0.15664881,-0.05253662,0.00408449,-0.092082284,-0.08466396,-0.8996729,0.03351016,0.2444649,-0.6335542,-0.107400976,0.32108426,-0.33196545,-0.26280138,0.11823779,-0.091806516,-0.085904375,0.099530816,0.34469774,-0.38645798,0.15570192,0.36092472,0.1525407,-0.07894966,0.6443273,0.06002108,-0.29754978,0.08679521,0.024768999,-0.13799097,0.04693186,0.11697684,-0.03432172,0.021281086,-0.20802134,0.109500915,-0.9468789,-0.2664537,0.14071992,0.20696828,0.5477782,0.022975238,-0.0037397703,-0.1155825,0.14054056,0.023207553,-0.016746257,-0.03491812,-0.026458528,0.2373791,-0.093338646,-0.026729371,0.37036538,-0.0142345745,0.2331367902534405
hos1_dpd4,-0.058879238,0.071817674,-0.13408215,-0.9632325,-0.03766868,-0.21227516,0.07859102,0.18881038,0.32914206,-0.19835499,0.14180171,0.16528781,-0.04278478,0.020457672,-0.09840894,-0.06316754,-0.91332376,0.036059625,0.2412493,-0.6691581,-0.13328518,0.3088063,-0.31281307,-0.30349645,0.1295037,-0.1124393,-0.101934955,0.094977476,0.34485102,-0.40817058,0.1675354,0.35963565,0.15874006,-0.08410234,0.57713485,0.072891206,-0.34075746,0.087045774,-0.0026818274,-0.16391599,0.047109354,0.13348114,-0.03392471,0.06411545,-0.16714635,0.14603302,-0.92801315,-0.24960172,0.12641275,0.19962186,0.567569,0.0179463,-0.013845919,-0.11732223,0.121884614,0.021924185,-0.058698572,-0.010641121,-0.01303838,0.23686561,-0.11242207,-0.035052937,0.40566963,-5.723841e-05,0.2889537125697551
hat1_htl1,-0.07416589,0.088442996,-0.16878837,-0.95396316,-0.044294354,-0.15871397,0.08234162,0.16002,0.42126244,-0.16772193,0.13258427,0.20339863,-0.03748545,0.09543642,-0.017874187,-0.056878798,-0.87598455,0.043664593,0.17091213,-0.59141517,-0.1305085,0.3840924,-0.27697137,-0.28686535,0.10148377,-0.094911054,-0.10162237,0.083307594,0.40642294,-0.50818443,0.13850431,0.38994527,0.15869138,-0.091944814,0.5418289,0.090595834,-0.2870474,0.08833988,0.020447696,-0.16008282,0.022097085,0.15662809,-0.025575837,0.11247104,-0.09280963,0.10262262,-0.9005333,-0.30962366,0.12787057,0.2582145,0.56454426,0.017628472,-0.014472438,-0.123501085,0.0991525,0.022349318,-0.091932826,-0.012202039,-0.0031895367,0.33549955,-0.1552626,-0.024960833,0.45331234,0.0044667097,0.3150853986402309
gapdh_pyk1,-0.11403423,0.11511436,-0.113212496,-0.93038857,0.014834724,-0.20263442,0.10312142,0.32848528,0.44619855,-0.12149304,0.17510492,0.31774196,-0.05024388,0.012494977,-0.11587507,-0.08823853,-0.73141664,0.049493723,0.08305018,-0.50775284,-0.073336765,0.36874047,-0.47259566,-0.2814243,0.24564056,-0.07586592,-0.09811932,0.053301293,0.583667,-0.59172225,0.25839278,0.4034572,0.24744698,-0.09227713,0.5663739,0.098716944,-0.15824096,0.016495405,0.04749685,-0.11381792,0.0037840088,0.18061996,-0.045365497,0.062324353,-0.012772871,0.20428449,-0.90996736,-0.17956048,0.24172015,0.21892878,0.48027286,0.03466753,-0.019916931,-0.085068,0.09868568,0.008891209,-0.08869336,-0.05355454,-0.015372739,0.3057936,-0.1702526,-0.043407083,0.4831638,-0.05082564,0.2078103357864723
